producto,marca,formato,cantidad,precio,supermercado,categoría,id_producto
Vino tinto crianza D.O Rioja,Ramón Bilbao,Botella,75 cl,9.99,Dia,Bebidas con alcohol,218
Vino tinto crianza D.O. Valdepeñas,Señorío de Los Llanos,Botella,75 cl,2.99,Dia,Bebidas con alcohol,219
Vino tinto reserva D.O. Ribera del Duero,Altos del Tamarón,Botella,75 cl,9.95,Dia,Bebidas con alcohol,220
Vino tinto,Federico Paternina,Botella,  75 cl,6.79,Dia,Bebidas con alcohol,221
Vino tinto reserva D.O. Rioja,Coto de Imaz,Botella,75 cl,7.95,Dia,Bebidas con alcohol,222
Vino tinto D.O. Campo de Borja,Borsao,Botella,75 cl,2.99,Dia,Bebidas con alcohol,223
Vino tinto roble D.O. Ribera del Duero,Protos,Botella,75 cl,9.5,Dia,Bebidas con alcohol,224
Vino tinto D.O. Navarra,Viña Ardanche,Botella,75 cl,1.99,Dia,Bebidas con alcohol,225
Vino tinto crianza D.O. Rioja,Marqués de Caceres,Botella,75 cl,7.9,Dia,Bebidas con alcohol,226
Vino tinto CVC D.O. Rioja,Campo viejo,Botella,75 cl,4.27,Dia,Bebidas con alcohol,227
Vino tinto D.O. Toro,Bajoz,Botella,75 cl,3.69,Dia,Bebidas con alcohol,228
Vino tinto crianza do rioja,Antaño,Botella,75 cl,4.99,Dia,Bebidas con alcohol,229
Vino tinto roble D.O. Ribera del Duero,Mayor de Castilla,Botella,75 cl,6.49,Dia,Bebidas con alcohol,230
Vino tinto crianza D.O. Rioja  Rivero,Faustino,Botella,75 cl,5.75,Dia,Bebidas con alcohol,231
Vino tinto D.O. Rioja,Castillo de Albai,Botella,75 cl,2.78,Dia,Bebidas con alcohol,232
Vino tinto D.O. Cataluña,Sangre toro,Botella,75 cl,5.39,Dia,Bebidas con alcohol,233
Vino tinto crianza D.O. Rioja,El coto,Botella,75 cl,5.95,Dia,Bebidas con alcohol,234
Aguacate,Dia,Bandeja,450 g,1.69,Dia,Fruta y verduras,235
Kiwi,Dia,Bandeja,700 g,2.29,Dia,Fruta y verduras,236
Mango,Dia,Bandeja,650 g,2.59,Dia,Fruta y verduras,237
Guacamole,Al Punto Dia,Tarrina,200 g,1.69,Dia,Fruta y verduras,238
Aguacate,Dia,Granel,750 g,3.74,Dia,Fruta y verduras,239
Kiwi,Zespri,Bandeja,500 g,2.99,Dia,Fruta y verduras,240
Coco troceado bio,Dia,Bolsa,56 g,0.95,Dia,Fruta y verduras,241
Kiwi,Dia,Selección,1 unidad,0.55,Dia,Fruta y verduras,242
Piña gold premium unidad aprox.,Dia,Unidad,2 Kg,4.38,Dia,Fruta y verduras,243
Mango,Dia,Unidad,1 unidad,1.99,Dia,Fruta y verduras,244
Pulpa aguacate,Al Punto Dia,Tarrina,125 g,1.45,Dia,Fruta y verduras,245
Aguacate bio,Dia,Bandeja,400 g,2.79,Dia,Fruta y verduras,246
Guacamole,Al Punto Dia,Tarrina,400 g,2.95,Dia,Fruta y verduras,247
Piña Baby,Dia,Unidad,1 unidad,2.0,Dia,Fruta y verduras,248
Filetes de anchoa en aceite de girasol,Hacendado,Filetes,3 bandejas x 29 g,2.1,Mercadona,"Conservas, caldos y cremas",249
Boquerones en vinagre  en aceite de girasol,Hacendado,Bandeja,80 g (60 g escurrido),1.75,Mercadona,"Conservas, caldos y cremas",250
Boquerones al vinagre  en aceite de girasol,Hacendado,Tarrina,330 g (265 g escurrido),5.8,Mercadona,"Conservas, caldos y cremas",251
Filetes de anchoa en aceite de oliva,Hacendado,Lata,42 g (29 g escurrido),1.25,Mercadona,"Conservas, caldos y cremas",252
Filetes de anchoa en aceite de oliva,Hacendado,Filetes,3 bandejas x 29 g,3.05,Mercadona,"Conservas, caldos y cremas",253
Filetes de sardina anchoada  en aceite de girasol,Hacendado,Bandeja,80 g (60 g escurrido),1.6,Mercadona,"Conservas, caldos y cremas",254
Migas de bacalao desaladas,Hacendado,Bandeja,300 g,6.55,Mercadona,Marisco y pescado,255
Filetes de sardina marinada  en aceite de oliva virgen extra,Hacendado,Bandeja,80 g (50 g escurrido),1.4,Mercadona,Marisco y pescado,256
Sucedáneo de caviar negro,Ubago Caviartic,Tarro,75 g,1.85,Mercadona,Marisco y pescado,257
Filetes de anchoa en aceite de oliva,Hacendado,Bandeja,140 g (110 g escurrido),6.7,Mercadona,"Conservas, caldos y cremas",258
Filetes de anchoa en aceite de oliva,Hacendado,Lata,74 g (50 g escurrido),3.75,Mercadona,"Conservas, caldos y cremas",259
Mojama de atún superior en taco  seca salada,Hacendado,Paquete,200 g aprox.,8.0,Mercadona,Marisco y pescado,260
Boquerones aliñados,Hacendado,Bandeja,80 g (60 g escurrido),1.8,Mercadona,Marisco y pescado,261
Migas de bacalao saladas,Hacendado,Bandeja,250 g,5.55,Mercadona,Marisco y pescado,262
Trozos de bacalao salado,Hacendado,Paquete,400 g,4.55,Mercadona,Marisco y pescado,263
Hoja de bacalao,Hacendado,Paquete,800 g aprox.,13.92,Mercadona,Congelados,264
Salmón ahumado,Hacendado,Paquete,100 g aprox.,3.8,Mercadona,Marisco y pescado,265
Salmón ahumado,Hacendado,Filetes,2 paquetes x 150 g,10.8,Mercadona,Marisco y pescado,266
Bacalao ahumado  en aceite de girasol,Hacendado,Bandeja,110 g (80 g escurrido),3.2,Mercadona,Marisco y pescado,267
Salmón marinado,Hacendado,Paquete,80 g,3.5,Mercadona,Marisco y pescado,268
Filetes de sardina ahumada  en aceite de girasol,Hacendado,Bandeja,85 g (65 g escurrido),2.0,Mercadona,Marisco y pescado,269
